City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Tabas,IR,2021-12-12 09:48:25,33.5959,56.9244,63.0,22,0,10.92
101,Bilibino,RU,2021-12-12 09:48:25,68.0546,166.4372,-39.66,98,14,4.12
102,Ocampo,MX,2021-12-12 09:48:25,21.65,-101.5,43.27,98,97,6.69
103,Faanui,PF,2021-12-12 09:48:26,-16.4833,-151.75,80.55,72,100,7.36
104,Nikolskoye,RU,2021-12-12 09:48:26,59.7035,30.7861,24.69,95,100,6.31
105,Mahajanga,MG,2021-12-12 09:48:26,-15.7167,46.3167,96.82,30,20,11.5
106,Hermanus,ZA,2021-12-12 09:48:27,-34.4187,19.2345,72.81,66,100,5.44
107,Zhetysay,KZ,2021-12-12 09:48:27,40.7333,68.3,55.35,31,16,2.89
108,Vila Franca Do Campo,PT,2021-12-12 09:48:27,37.7167,-25.4333,63.19,88,100,9.28
109,Yabrud,SY,2021-12-12 09:48:28,33.9674,36.6574,49.66,39,100,7.83
110,Necochea,AR,2021-12-12 09:48:28,-38.5473,-58.7368,66.04,92,99,10.42
111,Hobart,AU,2021-12-12 09:47:06,-42.8794,147.3294,57.06,69,20,1.99
112,Oriximina,BR,2021-12-12 09:48:29,-1.7656,-55.8661,74.28,93,100,2.51
113,Severo-Kurilsk,RU,2021-12-12 09:48:29,50.6789,156.125,33.08,95,100,16.82
114,Adeje,ES,2021-12-12 09:48:29,28.1227,-16.726,65.91,63,75,6.91
115,Saint-Pierre,RE,2021-12-12 09:48:29,-21.3393,55.4781,87.48,58,81,20.71
116,Khatanga,RU,2021-12-12 09:48:30,71.9667,102.5,-49.41,100,55,2.24
117,Qaanaaq,GL,2021-12-12 09:48:30,77.484,-69.3632,-0.18,63,34,5.82
118,Coihaique,CL,2021-12-12 09:48:30,-45.5752,-72.0662,47.01,76,40,4.61
119,Xuddur,SO,2021-12-12 09:48:31,4.1213,43.8894,89.02,33,12,20.42
120,Jawhar,SO,2021-12-12 09:48:31,2.7809,45.5005,95.86,30,73,14.09
121,Pundaguitan,PH,2021-12-12 09:48:31,6.3711,126.1689,83.8,76,90,13.15
122,Ampanihy,MG,2021-12-12 09:48:31,-24.7,44.75,104.92,19,3,6.04
123,Norman Wells,CA,2021-12-12 09:48:32,65.282,-126.8329,-2.16,65,90,13.8
124,Vardo,NO,2021-12-12 09:48:32,70.3705,31.1107,30.85,93,100,12.19
125,Ribeira Grande,PT,2021-12-12 09:48:33,38.5167,-28.7,61.2,63,40,21.85
126,Bethel,US,2021-12-12 09:45:11,41.3712,-73.414,45.48,55,100,3.0
127,Lufilufi,WS,2021-12-12 09:48:33,-13.8745,-171.5986,73.18,77,12,15.79
128,Talas,TR,2021-12-12 09:48:33,38.6908,35.5538,50.67,50,0,2.3
129,Denpasar,ID,2021-12-12 09:44:51,-8.65,115.2167,83.86,79,40,8.05
130,Comodoro Rivadavia,AR,2021-12-12 09:48:34,-45.8667,-67.5,55.26,44,0,27.63
