City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Qaanaaq,GL,2021-12-13 03:34:07,77.484,-69.3632,-3.66,73,2,5.14
146,Camacha,PT,2021-12-13 03:34:19,33.0833,-16.3333,59.76,94,40,4.61
147,Crib Point,AU,2021-12-13 03:34:19,-38.35,145.2,95.59,45,56,3.65
148,Thompson,CA,2021-12-13 03:34:19,55.7435,-97.8558,3.36,85,75,0.0
149,Carson City,US,2021-12-13 03:34:20,39.1638,-119.7674,45.43,68,90,1.01
150,Hit,IQ,2021-12-13 03:34:20,33.6416,42.8251,53.92,44,80,8.28
151,Ostrovnoy,RU,2021-12-13 03:34:20,68.0531,39.5131,28.49,92,100,13.38
152,Iqaluit,CA,2021-12-13 03:29:52,63.7506,-68.5145,4.73,65,40,5.01
153,Antofagasta,CL,2021-12-13 03:31:38,-23.65,-70.4,61.88,81,13,3.69
154,Coihaique,CL,2021-12-13 03:31:27,-45.5752,-72.0662,49.95,76,75,5.75
155,Moyo,UG,2021-12-13 03:34:21,3.6609,31.7247,65.55,44,87,3.29
156,Nemuro,JP,2021-12-13 03:34:21,43.3236,145.575,36.03,57,37,31.94
157,Linxia,CN,2021-12-13 03:34:21,35.6003,103.2064,33.1,37,0,2.1
158,Hithadhoo,MV,2021-12-13 03:34:21,-0.6,73.0833,81.77,76,98,11.14
159,Dingle,PH,2021-12-13 03:34:22,10.9995,122.6711,82.15,82,89,12.73
160,Talnakh,RU,2021-12-13 03:34:22,69.4865,88.3972,-27.8,80,34,1.41
161,Ribeira Grande,PT,2021-12-13 03:34:22,38.5167,-28.7,58.62,55,100,12.5
162,Carolina,PR,2021-12-13 03:32:38,18.3808,-65.9574,78.69,88,40,8.05
163,Arlit,NE,2021-12-13 03:34:23,18.7369,7.3853,66.09,9,92,8.03
164,Portland,US,2021-12-13 03:31:52,45.5234,-122.6762,43.21,93,90,3.0
165,Airai,TL,2021-12-13 03:34:23,-8.9266,125.4092,74.12,64,87,0.96
166,Kavieng,PG,2021-12-13 03:34:23,-2.5744,150.7967,83.19,76,92,9.42
167,Khash,IR,2021-12-13 03:34:24,28.2211,61.2158,47.39,28,0,2.57
168,Mattru,SL,2021-12-13 03:34:24,7.6244,-11.8332,74.17,95,7,0.92
169,Cidreira,BR,2021-12-13 03:34:24,-30.1811,-50.2056,71.08,94,1,10.71
170,Ulaanbaatar,MN,2021-12-13 03:34:24,47.9077,106.8832,-0.27,71,13,2.24
171,Panjab,AF,2021-12-13 03:34:25,34.388,67.0233,26.4,29,55,1.68
172,Norman Wells,CA,2021-12-13 03:34:25,65.282,-126.8329,-2.16,71,75,13.8
173,Payson,US,2021-12-13 03:34:25,40.0444,-111.7321,40.96,65,90,12.66
174,Constitucion,CL,2021-12-13 03:34:26,-35.3333,-72.4167,50.31,79,0,10.2
175,Leningradskiy,RU,2021-12-13 03:34:26,69.3833,178.4167,-30.77,89,9,3.83
176,Bonaventure,CA,2021-12-13 03:34:26,48.0457,-65.4926,34.39,64,58,11.5
177,Ploemeur,FR,2021-12-13 03:34:27,47.7333,-3.4333,52.39,97,75,9.22
178,Diffa,NE,2021-12-13 03:34:27,13.3154,12.6113,68.23,20,82,9.19
179,Morant Bay,JM,2021-12-13 03:34:27,17.8815,-76.4093,78.42,82,10,9.98
180,Taltal,CL,2021-12-13 03:34:27,-25.4,-70.4833,61.47,85,13,2.59
181,Georgetown,MY,2021-12-13 03:34:28,5.4112,100.3354,85.93,71,20,5.01
182,Bandarbeyla,SO,2021-12-13 03:34:28,9.4942,50.8122,76.42,75,0,20.38
183,Hamilton,US,2021-12-13 03:33:00,39.1834,-84.5333,39.56,69,20,5.75
184,Nyurba,RU,2021-12-13 03:35:29,63.2842,118.3319,-17.81,96,100,7.16
185,Codrington,AU,2021-12-13 03:35:29,-38.2667,141.9667,68.25,61,100,20.96
186,Tabasco,MX,2021-12-13 03:35:29,18.0,-92.6667,74.07,94,75,12.66
187,Marinette,US,2021-12-13 03:35:30,45.1,-87.6307,39.56,65,1,9.22
188,Svetlogorsk,BY,2021-12-13 03:35:30,52.6333,29.7333,36.12,91,100,3.71
189,Ahipara,NZ,2021-12-13 03:35:30,-35.1667,173.1667,68.34,96,100,6.53
190,Gazanjyk,TM,2021-12-13 03:35:30,39.2446,55.5154,40.5,77,62,4.99
191,Meulaboh,ID,2021-12-13 03:35:31,4.1363,96.1285,81.88,77,67,4.74
192,Lakatoro,VU,2021-12-13 03:35:31,-16.0999,167.4164,81.18,86,100,12.21
193,Praia,CV,2021-12-13 03:35:31,14.9215,-23.5087,73.94,83,100,16.11
194,Cabo Rojo,PR,2021-12-13 03:35:31,18.0866,-67.1457,78.73,87,18,9.57
195,Beyneu,KZ,2021-12-13 03:35:32,45.3167,55.2,20.26,61,5,9.6
196,North Platte,US,2021-12-13 03:35:32,41.1239,-100.7654,41.38,57,1,6.91
197,Carnarvon,AU,2021-12-13 03:35:32,-24.8667,113.6333,78.87,57,1,19.57
198,Labuhan,ID,2021-12-13 03:35:33,-6.8844,112.2051,87.69,62,23,6.2
199,Sao Joao Da Barra,BR,2021-12-13 03:35:33,-21.6403,-41.0511,75.2,93,100,14.67
200,Methuen,US,2021-12-13 03:35:26,42.7262,-71.1909,40.03,55,1,4.0
201,Komsomolskiy,UZ,2021-12-13 03:35:33,40.4272,71.7189,33.22,69,100,2.3
202,Cabo San Lucas,MX,2021-12-13 03:35:34,22.8909,-109.9124,73.15,77,40,3.44
203,Saryg-Sep,RU,2021-12-13 03:35:34,51.5,95.6,5.67,93,100,1.25
204,Korla,CN,2021-12-13 03:35:34,41.7597,86.1469,23.43,56,12,2.42
205,Katsuura,JP,2021-12-13 03:35:35,35.1333,140.3,59.11,42,39,13.06
206,Chokurdakh,RU,2021-12-13 03:35:34,70.6333,147.9167,-36.33,97,100,2.04
207,Becerril,CO,2021-12-13 03:35:35,9.7041,-73.2793,74.44,77,89,4.0
208,Caohe,CN,2021-12-13 03:35:35,30.2297,115.4335,54.21,55,57,2.75
209,Clyde River,CA,2021-12-13 03:35:35,70.4692,-68.5914,-18.06,99,91,4.74
210,Mezen,RU,2021-12-13 03:35:36,65.8522,44.24,10.71,93,100,8.55
211,Ponta Do Sol,PT,2021-12-13 03:35:36,32.6667,-17.1,63.72,78,37,2.77
212,Pangnirtung,CA,2021-12-13 03:35:36,66.1451,-65.7125,-4.79,71,82,6.38
213,Zhigansk,RU,2021-12-13 03:35:37,66.7697,123.3711,-34.06,99,88,11.63
214,Pevek,RU,2021-12-13 03:35:37,69.7008,170.3133,-32.49,96,10,1.92
215,Oktyabrskiy,RU,2021-12-13 03:35:37,54.4815,53.471,9.77,90,24,4.47
216,Wuda,CN,2021-12-13 03:35:37,39.4994,106.7117,28.9,32,0,5.12
217,Bognor Regis,GB,2021-12-13 03:35:38,50.7821,-0.6798,52.74,97,100,18.48
218,Bocaiuva,BR,2021-12-13 03:35:38,-17.1078,-43.815,74.91,92,100,3.96
219,Port-Gentil,GA,2021-12-13 03:35:38,-0.7193,8.7815,79.32,87,100,8.93
220,Bystryy Istok,RU,2021-12-13 03:35:39,52.371,84.3873,9.75,88,100,7.56
221,Khandyga,RU,2021-12-13 03:35:39,62.6667,135.6,-34.22,98,72,1.23
222,Kupang,ID,2021-12-13 03:35:39,-10.1667,123.5833,88.38,74,20,5.75
223,Manokwari,ID,2021-12-13 03:35:39,-0.8667,134.0833,84.69,72,90,4.16
224,Sebinkarahisar,TR,2021-12-13 03:35:40,40.2883,38.4236,34.68,41,70,3.38
225,Belmonte,BR,2021-12-13 03:35:40,-15.8631,-38.8828,77.5,88,86,6.58
226,Rabo De Peixe,PT,2021-12-13 03:35:40,37.8,-25.5833,55.27,93,20,8.05
227,Chaumont,FR,2021-12-13 03:35:41,48.1167,5.1333,41.29,93,100,2.51
228,Tarasovskiy,RU,2021-12-13 03:36:41,48.7292,40.3636,30.31,55,100,18.37
229,Mastic Beach,US,2021-12-13 03:36:41,40.7668,-72.8521,43.99,55,1,1.99
230,Kachiry,KZ,2021-12-13 03:36:41,53.0675,76.1036,7.48,91,81,11.81
231,Maumere,ID,2021-12-13 03:36:42,-8.6199,122.2111,84.22,73,73,3.09
232,Paita,PE,2021-12-13 03:36:42,-5.0892,-81.1144,66.85,85,33,7.99
233,Filadelfia,US,2021-12-13 03:34:58,39.9523,-75.1638,41.81,56,1,1.01
234,Souillac,MU,2021-12-13 03:36:42,-20.5167,57.5167,80.37,78,75,6.91
235,Puerto Escondido,MX,2021-12-13 03:36:43,15.85,-97.0667,79.63,69,1,0.0
236,Kenai,US,2021-12-13 03:35:21,60.5544,-151.2583,5.05,65,1,10.36
237,Charters Towers,AU,2021-12-13 03:36:43,-20.1,146.2667,95.23,27,11,6.26
238,Lompoc,US,2021-12-13 03:35:54,34.6391,-120.4579,53.13,85,1,5.75
239,Correntina,BR,2021-12-13 03:36:43,-13.3433,-44.6367,70.63,95,100,2.08
240,Jalu,LY,2021-12-13 03:36:44,29.0331,21.5482,51.6,83,0,6.53
241,Kijang,KR,2021-12-13 03:36:44,35.2442,129.2139,40.73,14,0,1.66
242,Port Elizabeth,ZA,2021-12-13 03:36:44,-33.918,25.5701,70.09,94,75,4.61
243,Bilibino,RU,2021-12-13 03:36:45,68.0546,166.4372,-32.98,93,24,5.19
244,Saint George,US,2021-12-13 03:32:41,37.1041,-113.5841,43.79,59,1,3.0
245,Kaeo,NZ,2021-12-13 03:35:21,-35.1,173.7833,72.32,95,100,6.87
246,Rio Gallegos,AR,2021-12-13 03:36:45,-51.6226,-69.2181,42.85,45,20,13.8
